data,ru_texto,resolvido,data_resolucao,tipo,sheet_origem,ru,resolvido_flag,mes
2026-05-19,Pici 2,Sim,2026-05-19,TI,OS - STI,P2,True,2026-05
2026-05-21,Pici 1,Sim,2026-05-21,TI,OS - STI,P1,True,2026-05
2026-05-27,Pici 1,Sim,2026-05-27,TI,OS - STI,P1,True,2026-05
2026-05-28,Pici 1,Sim,2026-05-28,TI,OS - STI,P1,True,2026-05
2026-06-17,Benfica,Sim,2026-05-17,TI,OS - STI,B,True,2026-06
2026-06-18,Pici 1,Sim,2026-06-19,TI,OS - STI,P1,True,2026-06
2026-06-23,Pici 2,Sim,2026-06-19,TI,OS - STI,P2,True,2026-06
2026-06-23,Pici 1,Não,,TI,OS - STI,P1,False,2026-06
2026-07-14,Pici 2,Sim,2026-07-15,TI,OS - STI,P2,True,2026-07
2026-07-15,Pici 2,Sim,2026-07-15,TI,OS - STI,P2,True,2026-07
2026-07-20,SENUT,Não,,TI,OS - STI,,False,2026-07
2026-07-24,Pici 1,Sim,2026-07-24,TI,OS - STI,P1,True,2026-07
2026-07-24,Pici 2,Sim,2026-07-24,TI,OS - STI,P2,True,2026-07
2026-08-17,Pici 1,Sim,2026-08-18,TI,OS - STI,P1,True,2026-08
2026-09-02,Pici 1,Não,,TI,OS - STI,P1,False,2026-09
