data,dia,mes,mes_numero,ano,ano_mes,trimestre
2026-03-30,30,March,3,2026,2026-03,1
2026-03-31,31,March,3,2026,2026-03,1
2026-04-01,1,April,4,2026,2026-04,2
2026-04-06,6,April,4,2026,2026-04,2
2026-04-07,7,April,4,2026,2026-04,2
2026-04-08,8,April,4,2026,2026-04,2
2026-04-09,9,April,4,2026,2026-04,2
2026-04-10,10,April,4,2026,2026-04,2
2026-04-14,14,April,4,2026,2026-04,2
2026-04-15,15,April,4,2026,2026-04,2
2026-04-16,16,April,4,2026,2026-04,2
2026-04-17,17,April,4,2026,2026-04,2
2026-04-22,22,April,4,2026,2026-04,2
2026-04-23,23,April,4,2026,2026-04,2
2026-04-24,24,April,4,2026,2026-04,2
2026-04-27,27,April,4,2026,2026-04,2
2026-04-28,28,April,4,2026,2026-04,2
2026-04-29,29,April,4,2026,2026-04,2
2026-04-30,30,April,4,2026,2026-04,2
2026-05-04,4,May,5,2026,2026-05,2
2026-05-05,5,May,5,2026,2026-05,2
2026-05-06,6,May,5,2026,2026-05,2
2026-05-07,7,May,5,2026,2026-05,2
2026-05-08,8,May,5,2026,2026-05,2
2026-05-11,11,May,5,2026,2026-05,2
2026-05-12,12,May,5,2026,2026-05,2
2026-05-13,13,May,5,2026,2026-05,2
2026-05-14,14,May,5,2026,2026-05,2
2026-05-15,15,May,5,2026,2026-05,2
2026-05-18,18,May,5,2026,2026-05,2
2026-05-19,19,May,5,2026,2026-05,2
2026-05-20,20,May,5,2026,2026-05,2
2026-05-21,21,May,5,2026,2026-05,2
2026-05-22,22,May,5,2026,2026-05,2
2026-05-25,25,May,5,2026,2026-05,2
2026-05-26,26,May,5,2026,2026-05,2
2026-05-27,27,May,5,2026,2026-05,2
2026-05-28,28,May,5,2026,2026-05,2
2026-05-29,29,May,5,2026,2026-05,2
2026-06-01,1,June,6,2026,2026-06,2
2026-06-02,2,June,6,2026,2026-06,2
2026-06-03,3,June,6,2026,2026-06,2
2026-06-08,8,June,6,2026,2026-06,2
2026-06-09,9,June,6,2026,2026-06,2
2026-06-10,10,June,6,2026,2026-06,2
2026-06-11,11,June,6,2026,2026-06,2
2026-06-12,12,June,6,2026,2026-06,2
2026-06-15,15,June,6,2026,2026-06,2
2026-06-16,16,June,6,2026,2026-06,2
2026-06-17,17,June,6,2026,2026-06,2
2026-06-18,18,June,6,2026,2026-06,2
2026-06-19,19,June,6,2026,2026-06,2
2026-06-22,22,June,6,2026,2026-06,2
2026-06-23,23,June,6,2026,2026-06,2
2026-06-24,24,June,6,2026,2026-06,2
2026-06-25,25,June,6,2026,2026-06,2
2026-06-26,26,June,6,2026,2026-06,2
2026-06-29,29,June,6,2026,2026-06,2
2026-06-30,30,June,6,2026,2026-06,2
2026-07-01,1,July,7,2026,2026-07,3
2026-07-02,2,July,7,2026,2026-07,3
2026-07-03,3,July,7,2026,2026-07,3
2026-07-06,6,July,7,2026,2026-07,3
2026-07-07,7,July,7,2026,2026-07,3
2026-07-08,8,July,7,2026,2026-07,3
2026-07-09,9,July,7,2026,2026-07,3
2026-07-10,10,July,7,2026,2026-07,3
2026-07-13,13,July,7,2026,2026-07,3
2026-07-14,14,July,7,2026,2026-07,3
2026-07-15,15,July,7,2026,2026-07,3
2026-07-16,16,July,7,2026,2026-07,3
2026-07-17,17,July,7,2026,2026-07,3
2026-07-20,20,July,7,2026,2026-07,3
2026-07-21,21,July,7,2026,2026-07,3
2026-07-22,22,July,7,2026,2026-07,3
2026-07-23,23,July,7,2026,2026-07,3
2026-07-24,24,July,7,2026,2026-07,3
2026-07-27,27,July,7,2026,2026-07,3
2026-07-28,28,July,7,2026,2026-07,3
2026-07-29,29,July,7,2026,2026-07,3
2026-07-30,30,July,7,2026,2026-07,3
2026-07-31,31,July,7,2026,2026-07,3
2026-08-03,3,August,8,2026,2026-08,3
2026-08-04,4,August,8,2026,2026-08,3
2026-08-05,5,August,8,2026,2026-08,3
2026-08-06,6,August,8,2026,2026-08,3
2026-08-07,7,August,8,2026,2026-08,3
2026-08-10,10,August,8,2026,2026-08,3
2026-08-11,11,August,8,2026,2026-08,3
2026-08-12,12,August,8,2026,2026-08,3
2026-08-13,13,August,8,2026,2026-08,3
2026-08-14,14,August,8,2026,2026-08,3
2026-08-17,17,August,8,2026,2026-08,3
2026-08-18,18,August,8,2026,2026-08,3
2026-08-19,19,August,8,2026,2026-08,3
2026-08-20,20,August,8,2026,2026-08,3
2026-08-21,21,August,8,2026,2026-08,3
2026-08-24,24,August,8,2026,2026-08,3
2026-08-25,25,August,8,2026,2026-08,3
2026-08-26,26,August,8,2026,2026-08,3
2026-08-27,27,August,8,2026,2026-08,3
2026-08-28,28,August,8,2026,2026-08,3
2026-08-31,31,August,8,2026,2026-08,3
2026-09-01,1,September,9,2026,2026-09,3
2026-09-02,2,September,9,2026,2026-09,3
2026-09-03,3,September,9,2026,2026-09,3
2026-09-04,4,September,9,2026,2026-09,3
2026-09-07,7,September,9,2026,2026-09,3
