ru,data,refeicao,id_preparacao,tipo_preparacao,preparacao,preparacao_bruta,otimo,regular,ruim,total_respostas,isc_linha
B,2026-01-07,Jantar,82.0,PB,Sobrecoxa Assada/ ao Forno,Sobrecoxa Assada/ ao Forno,20.0,5.0,6.0,31.0,7.451612903225806
P1,2026-01-07,Jantar,94.0,PV,Assado de Panela,Assado de Panela,51.0,5.0,3.0,59.0,9.11864406779661
B,2026-01-07,Jantar,94.0,PV,Assado de Panela,Assado de Panela,50.0,10.0,1.0,61.0,9.032786885245901
P1,2026-01-07,Jantar,194.0,VEG,Lasanha de Batatas,Lasanha de Batatas,6.0,5.0,2.0,13.0,6.6923076923076925
B,2026-01-07,Jantar,194.0,VEG,Lasanha de Batatas,Lasanha de Batatas,10.0,15.0,20.0,45.0,4.333333333333333
P1,2026-01-08,Jantar,64.0,PB,Estrogonofe de Frango,Estrogonofe de Frango,67.0,7.0,3.0,77.0,9.194805194805195
B,2026-01-08,Jantar,64.0,PB,Estrogonofe de Frango,Estrogonofe de Frango,60.0,6.0,0.0,66.0,9.545454545454545
P1,2026-01-08,Jantar,132.0,PV,Suíno Acebolado,Suíno Acebolado,42.0,5.0,2.0,49.0,9.122448979591837
B,2026-01-08,Jantar,132.0,PV,Suíno Acebolado,Suíno Acebolado,20.0,1.0,0.0,21.0,9.761904761904763
P1,2026-01-08,Jantar,176.0,VEG,Assado de Lentilha,Assado de Lentilha,8.0,2.0,11.0,21.0,4.809523809523809
B,2026-01-08,Jantar,176.0,VEG,Assado de Lentilha,Assado de Lentilha,6.0,2.0,1.0,9.0,7.888888888888889
P1,2026-01-09,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,15.0,5.0,3.0,23.0,7.739130434782608
B,2026-01-09,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,16.0,0.0,7.0,23.0,7.260869565217392
P1,2026-01-09,Jantar,117.0,PV,Escondidinho de Carne,Escondidinho de Carne,79.0,1.0,9.0,89.0,9.03370786516854
B,2026-01-09,Jantar,117.0,PV,Escondidinho de Carne,Escondidinho de Carne,63.0,6.0,8.0,77.0,8.675324675324676
P1,2026-01-09,Jantar,180.0,VEG,Bolinho de Ervilha com Aveia,Bolinho de Ervilha com Aveia,3.0,2.0,3.0,8.0,5.375
B,2026-01-09,Jantar,180.0,VEG,Bolinho de Ervilha com Aveia,Bolinho de Ervilha com Aveia,1.0,1.0,0.0,2.0,7.5
P1,2026-01-12,Jantar,61.0,PB,Cubos de Frango com Ervas,Cubos de Frango com Ervas,15.0,2.0,3.0,20.0,8.15
B,2026-01-12,Jantar,61.0,PB,Cubos de Frango com Ervas,Cubos de Frango com Ervas,18.0,5.0,0.0,23.0,8.91304347826087
P1,2026-01-12,Jantar,123.0,PV,Isca de Carne ao M. Tomate,Isca de Carne ao M. Tomate,92.0,41.0,24.0,157.0,7.318471337579618
B,2026-01-12,Jantar,123.0,PV,Isca de Carne ao M. Tomate,Isca de Carne ao M. Tomate,48.0,7.0,3.0,58.0,8.931034482758621
P1,2026-01-12,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,12.0,4.0,10.0,26.0,5.769230769230769
B,2026-01-12,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,3.0,3.0,0.0,6.0,7.5
P1,2026-01-13,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,30.0,12.0,2.0,44.0,8.227272727272727
B,2026-01-13,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,45.0,4.0,1.0,50.0,9.42
P1,2026-01-13,Jantar,100.0,PV,Carne Moída à Bolonhesa,Carne Moída à Bolonhesa,90.0,16.0,11.0,117.0,8.47008547008547
B,2026-01-13,Jantar,100.0,PV,Carne Moída à Bolonhesa,Carne Moída à Bolonhesa,36.0,4.0,1.0,41.0,9.292682926829269
P1,2026-01-13,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,6.0,1.0,7.0,14.0,5.142857142857143
B,2026-01-13,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,11.0,1.0,1.0,13.0,8.923076923076923
P1,2026-01-14,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,29.0,15.0,2.0,46.0,7.978260869565218
B,2026-01-14,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,23.0,2.0,1.0,26.0,9.26923076923077
P1,2026-01-14,Jantar,133.0,PV,Suíno ao M. Escuro,Suíno ao M. Escuro,43.0,3.0,5.0,51.0,8.823529411764707
B,2026-01-14,Jantar,133.0,PV,Suíno ao M. Escuro,Suíno ao M. Escuro,32.0,2.0,1.0,35.0,9.457142857142857
P1,2026-01-14,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,12.0,5.0,6.0,23.0,6.565217391304348
B,2026-01-14,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,17.0,4.0,0.0,21.0,9.047619047619047
P1,2026-01-15,Jantar,79.0,PB,Peixe à Delícia,Peixe à Delícia,42.0,2.0,3.0,47.0,9.212765957446809
B,2026-01-15,Jantar,79.0,PB,Peixe à Delícia,Peixe à Delícia,45.0,5.0,2.0,52.0,9.173076923076923
P1,2026-01-15,Jantar,109.0,PV,Cubos Carne ao M. Madeira,Cubos Carne ao M. Madeira,53.0,16.0,23.0,92.0,6.880434782608695
B,2026-01-15,Jantar,109.0,PV,Cubos Carne ao M. Madeira,Cubos Carne ao M. Madeira,21.0,10.0,9.0,40.0,6.725
P1,2026-01-15,Jantar,210.0,VEG,Suflê de Legumes,Suflê de Legumes,4.0,2.0,6.0,12.0,4.666666666666667
B,2026-01-15,Jantar,210.0,VEG,Suflê de Legumes,Suflê de Legumes,5.0,0.0,8.0,13.0,4.461538461538462
P1,2026-01-16,Jantar,53.0,PB,Cubos de Frango ao M. Escuro,Cubos de Frango ao M. Escuro,30.0,15.0,7.0,52.0,7.346153846153846
B,2026-01-16,Jantar,53.0,PB,Cubos de Frango ao M. Escuro,Cubos de Frango ao M. Escuro,22.0,5.0,2.0,29.0,8.517241379310345
P1,2026-01-16,Jantar,136.0,PV,Torta de Calabresa,Torta de Calabresa,46.0,19.0,8.0,73.0,7.712328767123288
B,2026-01-16,Jantar,136.0,PV,Torta de Calabresa,Torta de Calabresa,45.0,9.0,5.0,59.0,8.474576271186441
P1,2026-01-16,Jantar,211.0,VEG,Torta de Legumes,Torta de Legumes,7.0,10.0,10.0,27.0,4.814814814814815
B,2026-01-16,Jantar,211.0,VEG,Torta de Legumes,Torta de Legumes,2.0,2.0,1.0,5.0,6.2
P1,2026-01-19,Jantar,88.0,PB,Sobrecoxa ao M. de Ervas,Sobrecoxa ao M. de Ervas,20.0,6.0,0.0,26.0,8.846153846153847
B,2026-01-19,Jantar,88.0,PB,Sobrecoxa ao M. de Ervas,Sobrecoxa ao M. de Ervas,15.0,4.0,4.0,23.0,7.565217391304348
P1,2026-01-19,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,45.0,5.0,6.0,56.0,8.589285714285714
B,2026-01-19,Jantar,121.0,PV,Isca de Carne Acebolada,Isca de Carne Acebolada,34.0,2.0,4.0,40.0,8.85
P1,2026-01-19,Jantar,203.0,VEG,Rocambole de Grão de Bico,Rocambole de Grão de Bico,26.0,2.0,6.0,34.0,8.117647058823529
B,2026-01-19,Jantar,203.0,VEG,Rocambole de Grão de Bico,Rocambole de Grão de Bico,5.0,1.0,3.0,9.0,6.444444444444445
P1,2026-01-20,Jantar,52.0,PB,Cubos de Frango Acebolado,Cubos de Frango Acebolado,23.0,3.0,2.0,28.0,8.821428571428571
B,2026-01-20,Jantar,52.0,PB,Cubos de Frango Acebolado,Cubos de Frango Acebolado,18.0,3.0,0.0,21.0,9.285714285714286
P1,2026-01-20,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,39.0,8.0,6.0,53.0,8.226415094339623
B,2026-01-20,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,25.0,2.0,0.0,27.0,9.62962962962963
P1,2026-01-20,Jantar,207.0,VEG,Soja Tropical,Soja Tropical,11.0,3.0,2.0,16.0,7.9375
B,2026-01-20,Jantar,207.0,VEG,Soja Tropical,Soja Tropical,2.0,1.0,0.0,3.0,8.333333333333334
P1,2026-01-21,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,36.0,4.0,5.0,45.0,8.555555555555555
B,2026-01-21,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,19.0,2.0,2.0,23.0,8.782608695652174
P1,2026-01-21,Jantar,130.0,PV,Picadinho com Legumes,Picadinho com Legumes,31.0,3.0,2.0,36.0,9.083333333333334
B,2026-01-21,Jantar,130.0,PV,Picadinho com Legumes,Picadinho com Legumes,20.0,5.0,0.0,25.0,9.0
P1,2026-01-21,Jantar,177.0,VEG,Bobó de Legumes,Bobó de Legumes,5.0,3.0,2.0,10.0,6.7
B,2026-01-21,Jantar,177.0,VEG,Bobó de Legumes,Bobó de Legumes,2.0,1.0,0.0,3.0,8.333333333333334
P1,2026-01-22,Jantar,61.0,PB,Cubos de Frango com Ervas,Cubos de Frango com Ervas,21.0,5.0,4.0,30.0,7.966666666666667
B,2026-01-22,Jantar,61.0,PB,Cubos de Frango com Ervas,Cubos de Frango com Ervas,14.0,2.0,2.0,18.0,8.444444444444445
P1,2026-01-22,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,36.0,5.0,5.0,46.0,8.478260869565217
B,2026-01-22,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,20.0,3.0,1.0,24.0,9.0
P1,2026-01-22,Jantar,182.0,VEG,Bolo Salgado Vegano,Bolo Salgado Vegano,2.0,4.0,3.0,9.0,4.777777777777778
B,2026-01-22,Jantar,182.0,VEG,Bolo Salgado Vegano,Bolo Salgado Vegano,4.0,1.0,0.0,5.0,9.0
P1,2026-01-23,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,11.0,4.0,0.0,15.0,8.666666666666666
B,2026-01-23,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,8.0,2.0,2.0,12.0,7.666666666666667
P1,2026-01-23,Jantar,127.0,PV,Lasanha de Calabresa,Lasanha de Calabresa,76.0,9.0,1.0,86.0,9.372093023255815
B,2026-01-23,Jantar,127.0,PV,Lasanha de Calabresa,Lasanha de Calabresa,23.0,2.0,0.0,25.0,9.6
P1,2026-01-23,Jantar,195.0,VEG,Lasanha de Brócolis,Lasanha de Brócolis,8.0,1.0,0.0,9.0,9.444444444444445
B,2026-01-23,Jantar,195.0,VEG,Lasanha de Brócolis,Lasanha de Brócolis,2.0,0.0,0.0,2.0,10.0
P1,2026-01-26,Jantar,56.0,PB,Cubos de Frango ao M. de Ervas,Cubos de Frango ao M. de Ervas,15.0,5.0,2.0,22.0,8.045454545454545
B,2026-01-26,Jantar,56.0,PB,Cubos de Frango ao M. de Ervas,Cubos de Frango ao M. de Ervas,15.0,3.0,2.0,20.0,8.35
P1,2026-01-26,Jantar,135.0,PV,Suíno à Carioca,Suíno à Carioca,38.0,1.0,3.0,42.0,9.238095238095237
B,2026-01-26,Jantar,135.0,PV,Suíno à Carioca,Suíno à Carioca,10.0,2.0,0.0,12.0,9.166666666666666
P1,2026-01-26,Jantar,187.0,VEG,Estrogonofe de Legumes,Estrogonofe de Legumes,6.0,0.0,2.0,8.0,7.75
B,2026-01-26,Jantar,187.0,VEG,Estrogonofe de Legumes,Estrogonofe de Legumes,2.0,1.0,0.0,3.0,8.333333333333334
P1,2026-01-27,Jantar,87.0,PB,Sobrecoxa Desosssada Crocante,Sobrecoxa Desosssada Crocante,18.0,4.0,5.0,27.0,7.592592592592593
B,2026-01-27,Jantar,87.0,PB,Sobrecoxa Desosssada Crocante,Sobrecoxa Desosssada Crocante,8.0,0.0,0.0,8.0,10.0
P1,2026-01-27,Jantar,98.0,PV,Carne Moída ao M. Tomate,Carne Moída ao M. Tomate,29.0,2.0,0.0,31.0,9.67741935483871
B,2026-01-27,Jantar,98.0,PV,Carne Moída ao M. Tomate,Carne Moída ao M. Tomate,12.0,1.0,2.0,15.0,8.466666666666667
P1,2026-01-27,Jantar,208.0,VEG,Soja à Bolonhesa,Soja à Bolonhesa,4.0,2.0,0.0,6.0,8.333333333333334
B,2026-01-27,Jantar,208.0,VEG,Soja à Bolonhesa,Soja à Bolonhesa,1.0,1.0,24.0,26.0,1.5
P1,2026-01-28,Jantar,57.0,PB,Cubos de Frango ao M. de Legumes,Cubos de Frango ao M. de Legumes,12.0,3.0,0.0,15.0,9.0
B,2026-01-28,Jantar,57.0,PB,Cubos de Frango ao M. de Legumes,Cubos de Frango ao M. de Legumes,7.0,1.0,1.0,9.0,8.444444444444445
P1,2026-01-28,Jantar,118.0,PV,Estrogonofe de Carne,Estrogonofe de Carne,35.0,10.0,4.0,49.0,8.244897959183673
B,2026-01-28,Jantar,118.0,PV,Estrogonofe de Carne,Estrogonofe de Carne,6.0,1.0,0.0,7.0,9.285714285714286
P1,2026-01-28,Jantar,172.0,VEG,Almôndegas de Lentilha,Almôndegas de Lentilha,4.0,1.0,0.0,5.0,9.0
B,2026-01-28,Jantar,172.0,VEG,Almôndegas de Lentilha,Almôndegas de Lentilha,0.0,1.0,1.0,2.0,3.0
P1,2026-01-29,Jantar,77.0,PB,Peixe ao M. Branco,Peixe ao M. Branco,18.0,2.0,3.0,23.0,8.391304347826088
B,2026-01-29,Jantar,77.0,PB,Peixe ao M. Branco,Peixe ao M. Branco,33.0,1.0,1.0,35.0,9.6
P1,2026-01-29,Jantar,122.0,PV,Isca de Carne Chinesa,Isca de Carne Chinesa,27.0,3.0,2.0,32.0,8.96875
B,2026-01-29,Jantar,122.0,PV,Isca de Carne Chinesa,Isca de Carne Chinesa,14.0,1.0,1.0,16.0,9.125
P1,2026-01-29,Jantar,213.0,VEG,Yakissoba Vegetariano,Yakissoba Vegetariano,9.0,0.0,0.0,9.0,10.0
B,2026-01-29,Jantar,213.0,VEG,Yakissoba Vegetariano,Yakissoba Vegetariano,1.0,1.0,0.0,2.0,7.5
P1,2026-01-30,Jantar,51.0,PB,Creme de Frango,Creme de Frango,11.0,6.0,0.0,17.0,8.235294117647058
B,2026-01-30,Jantar,51.0,PB,Creme de Frango,Creme de Frango,15.0,3.0,2.0,20.0,8.35
P1,2026-01-30,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,9.0,1.0,0.0,10.0,9.5
B,2026-01-30,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,10.0,2.0,0.0,12.0,9.166666666666666
P1,2026-01-30,Jantar,184.0,VEG,Escondidinho de Legumes,Escondidinho de Legumes,0.0,0.0,2.0,2.0,1.0
B,2026-01-30,Jantar,184.0,VEG,Escondidinho de Legumes,Escondidinho de Legumes,2.0,1.0,0.0,3.0,8.333333333333334
P1,2026-02-02,Jantar,88.0,PB,Sobrecoxa ao M. de Ervas,Sobrecoxa ao M. de Ervas,9.0,2.0,0.0,11.0,9.090909090909092
B,2026-02-02,Jantar,88.0,PB,Sobrecoxa ao M. de Ervas,Sobrecoxa ao M. de Ervas,7.0,0.0,0.0,7.0,10.0
P1,2026-02-02,Jantar,111.0,PV,Cubos Suíno ao molho barbecue,Cubos Suíno ao molho barbecue,11.0,1.0,0.0,12.0,9.583333333333334
B,2026-02-02,Jantar,111.0,PV,Cubos Suíno ao molho barbecue,Cubos Suíno ao molho barbecue,10.0,1.0,0.0,11.0,9.545454545454545
P1,2026-02-02,Jantar,179.0,VEG,Bolinha de grão de bico,Bolinha de grão de bico,0.0,1.0,0.0,1.0,5.0
B,2026-02-02,Jantar,179.0,VEG,Bolinha de grão de bico,Bolinha de grão de bico,1.0,0.0,0.0,1.0,10.0
P1,2026-02-03,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,14.0,1.0,0.0,15.0,9.666666666666666
B,2026-02-03,Jantar,60.0,PB,Cubos de Frango com Batata Rústica,Cubos de Frango com Batata Rústica,12.0,1.0,1.0,14.0,9.0
P1,2026-02-03,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,13.0,1.0,0.0,14.0,9.642857142857142
B,2026-02-03,Jantar,97.0,PV,Carne Moída Refogada,Carne Moída Refogada,17.0,0.0,1.0,18.0,9.5
P1,2026-02-03,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,2.0,0.0,0.0,2.0,10.0
B,2026-02-03,Jantar,192.0,VEG,Jardineira de Soja,Jardineira de Soja,5.0,0.0,10.0,15.0,4.0
P1,2026-02-04,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,2.0,0.0,0.0,2.0,10.0
B,2026-02-04,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,1.0,1.0,1.0,3.0,5.333333333333333
P1,2026-02-04,Jantar,94.0,PV,Assado de Panela,Assado de Panela,14.0,2.0,0.0,16.0,9.375
B,2026-02-04,Jantar,94.0,PV,Assado de Panela,Assado de Panela,8.0,1.0,0.0,9.0,9.444444444444445
P1,2026-02-04,Jantar,194.0,VEG,Lasanha de Batatas,Lasanha de Batatas,3.0,0.0,0.0,3.0,10.0
B,2026-02-04,Jantar,194.0,VEG,Lasanha de Batatas,Lasanha de Batatas,3.0,0.0,1.0,4.0,7.75
P1,2026-02-05,Jantar,64.0,PB,Estrogonofe de Frango,Estrogonofe de Frango,3.0,0.0,0.0,3.0,10.0
B,2026-02-05,Jantar,64.0,PB,Estrogonofe de Frango,Estrogonofe de Frango,9.0,1.0,0.0,10.0,9.5
P1,2026-02-05,Jantar,110.0,PV,Cubos Suíno Acebolado,Cubos Suíno Acebolado,2.0,0.0,0.0,2.0,10.0
B,2026-02-05,Jantar,110.0,PV,Cubos Suíno Acebolado,Cubos Suíno Acebolado,7.0,0.0,0.0,7.0,10.0
P1,2026-02-05,Jantar,176.0,VEG,Assado de Lentilha,Assado de Lentilha,0.0,0.0,0.0,0.0,
B,2026-02-05,Jantar,176.0,VEG,Assado de Lentilha,Assado de Lentilha,0.0,0.0,0.0,0.0,
P1,2026-02-06,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,6.0,1.0,0.0,7.0,9.285714285714286
B,2026-02-06,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,2.0,0.0,0.0,2.0,10.0
P1,2026-02-06,Jantar,117.0,PV,Escondidinho de Carne,Escondidinho de Carne,21.0,2.0,1.0,24.0,9.208333333333334
B,2026-02-06,Jantar,117.0,PV,Escondidinho de Carne,Escondidinho de Carne,12.0,1.0,0.0,13.0,9.615384615384615
P1,2026-02-06,Jantar,180.0,VEG,Bolinho de Ervilha com Aveia,Bolinho de Ervilha com Aveia,0.0,0.0,0.0,0.0,
B,2026-02-06,Jantar,180.0,VEG,Bolinho de Ervilha com Aveia,Bolinho de Ervilha com Aveia,0.0,0.0,0.0,0.0,
P1,2026-02-09,Jantar,74.0,PB,Isca de Frango com Ervas,Isca de Frango com Ervas,9.0,1.0,0.0,10.0,9.5
B,2026-02-09,Jantar,74.0,PB,Isca de Frango com Ervas,Isca de Frango com Ervas,6.0,1.0,2.0,9.0,7.444444444444445
P1,2026-02-09,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,15.0,2.0,0.0,17.0,9.411764705882353
B,2026-02-09,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,6.0,0.0,0.0,6.0,10.0
P1,2026-02-09,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,0.0,0.0,0.0,0.0,
B,2026-02-09,Jantar,205.0,VEG,Salpicão vegano,Salpicão vegano,0.0,0.0,0.0,0.0,
P1,2026-02-10,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,5.0,0.0,0.0,5.0,10.0
B,2026-02-10,Jantar,84.0,PB,Sobrecoxa Desossada,Sobrecoxa Desossada,2.0,0.0,2.0,4.0,5.5
P1,2026-02-10,Jantar,120.0,PV,Isca Carne ao M. Tomate,Isca Carne ao M. Tomate,25.0,0.0,0.0,25.0,10.0
B,2026-02-10,Jantar,120.0,PV,Isca Carne ao M. Tomate,Isca Carne ao M. Tomate,7.0,2.0,0.0,9.0,8.88888888888889
P1,2026-02-10,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,0.0,0.0,0.0,0.0,
B,2026-02-10,Jantar,190.0,VEG,Hambúrguer de Soja,Hambúrguer de Soja,0.0,0.0,0.0,0.0,
P1,2026-02-11,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,6.0,1.0,0.0,7.0,9.285714285714286
B,2026-02-11,Jantar,68.0,PB,Isca de Frango Acebolado,Isca de Frango Acebolado,15.0,0.0,0.0,15.0,10.0
P1,2026-02-11,Jantar,105.0,PV,Cubo Suíno ao M. Escuro,Cubo Suíno ao M. Escuro,11.0,1.0,0.0,12.0,9.583333333333334
B,2026-02-11,Jantar,105.0,PV,Cubo Suíno ao M. Escuro,Cubo Suíno ao M. Escuro,11.0,0.0,0.0,11.0,10.0
P1,2026-02-11,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,2.0,0.0,0.0,2.0,10.0
B,2026-02-11,Jantar,199.0,VEG,Panqueca Vegana ao Molho Branco,Panqueca Vegana ao Molho Branco,2.0,0.0,0.0,2.0,10.0
P1,2026-02-12,Jantar,79.0,PB,Peixe à Delícia,Peixe à Delícia,1.0,0.0,0.0,1.0,10.0
B,2026-02-12,Jantar,79.0,PB,Peixe à Delícia,Peixe à Delícia,11.0,2.0,1.0,14.0,8.642857142857142
P1,2026-02-12,Jantar,113.0,PV,Cubos de Carne ao M. Madeira,Cubos de Carne ao M. Madeira,12.0,2.0,1.0,15.0,8.733333333333333
B,2026-02-12,Jantar,113.0,PV,Cubos de Carne ao M. Madeira,Cubos de Carne ao M. Madeira,6.0,0.0,1.0,7.0,8.714285714285714
P1,2026-02-12,Jantar,210.0,VEG,Suflê de Legumes,Suflê de Legumes,0.0,0.0,0.0,0.0,
B,2026-02-12,Jantar,210.0,VEG,Suflê de Legumes,Suflê de Legumes,1.0,0.0,0.0,1.0,10.0
P1,2026-02-13,Jantar,53.0,PB,Cubos de Frango ao M. Escuro,Cubos de Frango ao M. Escuro,3.0,1.0,0.0,4.0,8.75
B,2026-02-13,Jantar,53.0,PB,Cubos de Frango ao M. Escuro,Cubos de Frango ao M. Escuro,7.0,1.0,0.0,8.0,9.375
P1,2026-02-13,Jantar,136.0,PV,Torta de Calabresa,Torta de Calabresa,9.0,1.0,4.0,14.0,7.071428571428571
B,2026-02-13,Jantar,136.0,PV,Torta de Calabresa,Torta de Calabresa,4.0,0.0,0.0,4.0,10.0
P1,2026-02-13,Jantar,211.0,VEG,Torta de Legumes,Torta de Legumes,0.0,0.0,0.0,0.0,
B,2026-02-13,Jantar,211.0,VEG,Torta de Legumes,Torta de Legumes,0.0,0.0,0.0,0.0,
P1,2026-02-19,Jantar,61.0,PB,Cubos de Frango com Ervas,Cubos de Frango com Ervas,7.0,0.0,0.0,7.0,10.0
B,2026-02-19,Jantar,61.0,PB,Cubos de Frango com Ervas,Cubos de Frango com Ervas,2.0,0.0,6.0,8.0,3.25
P1,2026-02-19,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,15.0,0.0,0.0,15.0,10.0
B,2026-02-19,Jantar,108.0,PV,Cubo suíno acebolado,Cubo suíno acebolado,8.0,2.0,0.0,10.0,9.0
P1,2026-02-19,Jantar,182.0,VEG,Bolo Salgado Vegano,Bolo Salgado Vegano,0.0,0.0,0.0,0.0,
B,2026-02-19,Jantar,182.0,VEG,Bolo Salgado Vegano,Bolo Salgado Vegano,0.0,0.0,0.0,0.0,
P1,2026-02-20,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,2.0,0.0,0.0,2.0,10.0
B,2026-02-20,Jantar,81.0,PB,Sobrecoxa Assada,Sobrecoxa Assada,1.0,0.0,0.0,1.0,10.0
P1,2026-02-20,Jantar,127.0,PV,Lasanha de Calabresa,Lasanha de Calabresa,14.0,0.0,0.0,14.0,10.0
B,2026-02-20,Jantar,127.0,PV,Lasanha de Calabresa,Lasanha de Calabresa,14.0,0.0,0.0,14.0,10.0
P1,2026-02-20,Jantar,195.0,VEG,Lasanha de Brócolis,Lasanha de Brócolis,1.0,0.0,1.0,2.0,5.5
B,2026-02-20,Jantar,195.0,VEG,Lasanha de Brócolis,Lasanha de Brócolis,2.0,1.0,0.0,3.0,8.333333333333334
P1,2026-02-23,Jantar,66.0,PB,Frango ao Molho de Ervas,Frango ao Molho de Ervas,6.0,3.0,1.0,10.0,7.6
B,2026-02-23,Jantar,66.0,PB,Frango ao Molho de Ervas,Frango ao Molho de Ervas,5.0,1.0,0.0,6.0,9.166666666666666
P1,2026-02-23,Jantar,135.0,PV,Suíno à Carioca,Suíno à Carioca,13.0,2.0,0.0,15.0,9.333333333333334
B,2026-02-23,Jantar,135.0,PV,Suíno à Carioca,Suíno à Carioca,4.0,0.0,0.0,4.0,10.0
P1,2026-02-23,Jantar,187.0,VEG,Estrogonofe de Legumes,Estrogonofe de Legumes,0.0,0.0,0.0,0.0,
B,2026-02-23,Jantar,187.0,VEG,Estrogonofe de Legumes,Estrogonofe de Legumes,0.0,0.0,0.0,0.0,
P1,2026-02-24,Jantar,83.0,PB,Sobrecoxa Crocante,Sobrecoxa Crocante,5.0,3.0,0.0,8.0,8.125
