id_preparacao,tipo_preparacao,preparacao
119,PV,Feijoada
120,PV,Isca Carne ao M. Tomate
121,PV,Isca de Carne Acebolada
122,PV,Isca de Carne Chinesa
123,PV,Isca de Carne ao M. Tomate
124,PV,Isca de Carne ao Molho Escuro
125,PV,Isca de Fígado ao Molho
126,PV,Jardineira de Carne Moída
127,PV,Lasanha de Calabresa
128,PV,Lasanha de Carne Moída
129,PV,Paçoca de Carne
130,PV,Picadinho com Legumes
131,PV,Picadinho de Carne com Legumes
132,PV,Suíno Acebolado
133,PV,Suíno ao M. Escuro
134,PV,Suíno ao Molho Barbecue
135,PV,Suíno à Carioca
136,PV,Torta de Calabresa
137,Pão Francês,Pão Francês 
138,Pão Opção,Pão Sovado 
139,Pão Opção,Pão de Forma
140,Salada,(sem cardápio informado)
141,Salada,Salada Cozida
142,Salada,Salada Crua
143,Salada,Vinagrete
144,Sobremesa,(sem cardápio informado)
145,Sobremesa,Abacaxi
146,Sobremesa,Banana
147,Sobremesa,Laranja
148,Sobremesa,Maçã
149,Sobremesa,Melancia
150,Sobremesa,Melão Espanhol
151,Sobremesa,Melão Japonês
152,Sobremesa,Tangerina
153,Suco,(sem cardápio informado)
154,Suco,Acerola
155,Suco,Caju
156,Suco,Cajá
157,Suco,Goiaba
158,Suco,Graviola
159,Suco,Manga
160,Suco,Seriguela
161,Suco,Tamarindo
162,Suco SA,(sem cardápio informado)
163,Suco SA,Acerola
164,Suco SA,Caju
165,Suco SA,Cajá
166,Suco SA,Goiaba
167,Suco SA,Graviola
168,Suco SA,Manga
169,Suco SA,Seriguela
170,Suco SA,Tamarindo
171,VEG,(sem cardápio informado)
172,VEG,Almôndegas de Lentilha
173,VEG,Arroz Cremoso de Lentilha
174,VEG,Assado de Grão de Bico
175,VEG,Assado de Grão de Bico com Legumes
176,VEG,Assado de Lentilha
177,VEG,Bobó de Legumes
178,VEG,Bolinha de Ervilha c/ Aveia
179,VEG,Bolinha de grão de bico
180,VEG,Bolinho de Ervilha com Aveia
181,VEG,Bolinho de grão de bico
182,VEG,Bolo Salgado Vegano
183,VEG,Curry de lentilha
184,VEG,Escondidinho de Legumes
185,VEG,Escondidinho de Soja
186,VEG,Estrogonofe de Grão de Bico
187,VEG,Estrogonofe de Legumes
188,VEG,Feijoada Vegetariana
189,VEG,Guisado de Lentilha
190,VEG,Hambúrguer de Soja
191,VEG,Jardineira de Lentilha
192,VEG,Jardineira de Soja
193,VEG,Lasanha Vegetaraiana
194,VEG,Lasanha de Batatas
195,VEG,Lasanha de Brócolis
196,VEG,Macarronada Vegetariana
197,VEG,Maria Isabel Vegana
198,VEG,Moqueca Vegetariana
199,VEG,Panqueca Vegana ao Molho Branco
200,VEG,Refogado  de Soja
201,VEG,Refogado de Lentilha
202,VEG,Risoto de Lentilha
203,VEG,Rocambole de Grão de Bico
204,VEG,Rocombole Grão de Bico
205,VEG,Salpicão vegano
206,VEG,Soja Nordestina
207,VEG,Soja Tropical
208,VEG,Soja à Bolonhesa
209,VEG,Soja á Bolonhesa
210,VEG,Suflê de Legumes
211,VEG,Torta de Legumes
212,VEG,Vatapá Vegano
213,VEG,Yakissoba Vegetariano
