ru,data,refeicao,refeicoes_realizadas,refeicoes_previstas
B,2026-03-12,Almoço,1801.0,1956.0
B,2026-03-12,Café,218.0,318.0
B,2026-03-12,Jantar,1335.0,1377.9999999999998
B,2026-03-13,Almoço,1665.0,2403.9999999999995
B,2026-03-13,Café,207.0,312.00000000000006
B,2026-03-13,Jantar,1187.0,1166.6666666666667
B,2026-03-16,Almoço,1836.0,1802.3076923076924
B,2026-03-16,Café,164.0,264.0
B,2026-03-16,Jantar,1349.0,1442.2222222222224
B,2026-03-17,Almoço,2145.0,2153.9999999999995
B,2026-03-17,Café,220.0,320.0
B,2026-03-17,Jantar,1454.0,1577.391304347826
B,2026-03-18,Almoço,1597.0,1904.0
B,2026-03-18,Café,143.0,296.0
B,2026-03-18,Jantar,1016.0,1201.9999999999998
B,2026-03-23,Almoço,1891.0,1666.6666666666667
B,2026-03-23,Café,174.0,274.0
B,2026-03-23,Jantar,1353.0,1371.0000000000002
B,2026-03-24,Almoço,2074.0,2380.0
B,2026-03-24,Café,231.0,309.0
B,2026-03-24,Jantar,1566.0,1659.1666666666667
B,2026-03-26,Almoço,2114.0,1666.6666666666667
B,2026-03-26,Café,198.0,300.6666666666667
B,2026-03-26,Jantar,1551.0,1296.9999999999998
B,2026-03-27,Almoço,1778.0,2170.0
B,2026-03-27,Café,215.0,408.0
B,2026-03-27,Jantar,1152.0,1180.0
B,2026-03-30,Almoço,1933.0,1908.0
B,2026-03-30,Café,190.0,270.0
B,2026-03-30,Jantar,1305.0,1830.0
B,2026-03-31,Almoço,1970.0,2000.0
B,2026-03-31,Café,203.0,316.6666666666667
B,2026-03-31,Jantar,1288.0,1633.3333333333333
B,2026-04-01,Almoço,1951.0,1790.0
B,2026-04-01,Café,201.0,326.0
B,2026-04-01,Jantar,1200.0,1198.0000000000002
B,2026-04-06,Almoço,1679.0,1991.5384615384612
B,2026-04-06,Café,128.0,369.2307692307692
B,2026-04-06,Jantar,1259.0,1936.0
B,2026-04-07,Almoço,1794.0,2162.5
B,2026-04-07,Café,200.0,331.3333333333333
B,2026-04-07,Jantar,1322.0,1528.3333333333333
B,2026-04-08,Almoço,1992.0,1986.0
B,2026-04-08,Café,190.0,338.0
B,2026-04-08,Jantar,1440.0,1333.3333333333333
B,2026-04-09,Almoço,1964.0,1833.3333333333333
B,2026-04-09,Café,190.0,346.6666666666667
B,2026-04-09,Jantar,1335.0,1584.0
B,2026-04-10,Almoço,1685.0,1680.0
B,2026-04-10,Café,192.0,320.0
B,2026-04-10,Jantar,1076.0,1333.3333333333333
B,2026-04-14,Almoço,1734.0,2858.0
B,2026-04-14,Café,183.0,297.0
B,2026-04-14,Jantar,1225.0,2150.0
B,2026-04-15,Almoço,2029.0,2223.9999999999995
B,2026-04-15,Café,200.0,286.0
B,2026-04-15,Jantar,1274.0,1706.0
B,2026-04-16,Almoço,1806.0,1889.1666666666672
B,2026-04-16,Café,186.0,300.0
B,2026-04-16,Jantar,1301.0,1870.6666666666663
B,2026-04-17,Almoço,1445.0,1653.8461538461538
B,2026-04-17,Café,185.0,11000.0
B,2026-04-17,Jantar,1268.0,1415.0
B,2026-04-22,Almoço,1901.0,1892.0
B,2026-04-22,Café,175.0,378.0
B,2026-04-22,Jantar,1286.0,1750.0
B,2026-04-23,Almoço,1911.0,1857.4999999999995
B,2026-04-23,Café,207.0,296.0
B,2026-04-23,Jantar,1367.0,1200.0
B,2026-04-24,Almoço,1687.0,1616.0
B,2026-04-24,Café,207.0,316.0
B,2026-04-24,Jantar,1058.0,1300.0
B,2026-04-27,Almoço,1780.0,1864.6153846153843
B,2026-04-27,Café,168.0,276.0
B,2026-04-27,Jantar,1241.0,1818.0
B,2026-04-28,Almoço,1789.0,2223.9999999999995
B,2026-04-28,Café,222.0,336.0
B,2026-04-28,Jantar,1334.0,1474.1666666666667
B,2026-04-29,Almoço,1996.0,2303.9999999999995
B,2026-04-29,Café,197.0,318.00000000000006
B,2026-04-29,Jantar,1369.0,1650.0
B,2026-04-30,Almoço,1822.0,4100.0
B,2026-04-30,Café,224.0,298.0
B,2026-04-30,Jantar,1231.0,2914.444444444444
B,2026-05-04,Almoço,1594.0,2119.230769230769
B,2026-05-04,Café,161.0,272.0
B,2026-05-04,Jantar,1169.0,1186.9999999999998
B,2026-05-05,Almoço,1491.0,2600.0
B,2026-05-05,Café,228.0,292.0
B,2026-05-05,Jantar,1221.0,1266.6666666666667
B,2026-05-06,Almoço,2197.0,1890.0
B,2026-05-06,Café,221.0,320.0
B,2026-05-06,Jantar,1143.0,1634.9999999999998
B,2026-05-07,Almoço,1949.0,4853.333333333333
B,2026-05-07,Café,221.0,330.0
B,2026-05-07,Jantar,1264.0,2135.9999999999995
B,2026-05-08,Almoço,1673.0,1914.2857142857142
B,2026-05-08,Café,207.0,336.99999999999994
B,2026-05-08,Jantar,1034.0,1000.0
B,2026-05-11,Almoço,1676.0,2142.3076923076924
B,2026-05-11,Café,148.0,262.0
B,2026-05-11,Jantar,1200.0,1552.0
B,2026-05-12,Almoço,1840.0,2578.9999999999995
B,2026-05-12,Café,211.0,320.0
B,2026-05-12,Jantar,1237.0,1614.1666666666667
B,2026-05-13,Almoço,1851.0,2641.8750000000005
B,2026-05-13,Café,202.0,318.00000000000006
B,2026-05-13,Jantar,1348.0,1450.0
B,2026-05-14,Almoço,1938.0,2039.1666666666667
B,2026-05-14,Café,214.0,270.6666666666667
B,2026-05-14,Jantar,1298.0,2150.0000000000005
B,2026-05-15,Almoço,1518.0,1737.5
B,2026-05-15,Café,200.0,322.00000000000006
B,2026-05-15,Jantar,1153.0,1201.9999999999998
B,2026-05-18,Almoço,1592.0,1653.8461538461538
B,2026-05-18,Café,167.0,270.0
B,2026-05-18,Jantar,1253.0,1000.0
B,2026-05-19,Almoço,1823.0,2352.0
B,2026-05-19,Café,205.0,266.0
B,2026-05-19,Jantar,1236.0,1333.3333333333333
B,2026-05-20,Almoço,1809.0,2142.0000000000005
B,2026-05-20,Café,195.0,306.0
B,2026-05-20,Jantar,1322.0,1288.0000000000002
B,2026-05-21,Almoço,1791.0,1833.3333333333333
B,2026-05-21,Café,190.0,268.6666666666667
B,2026-05-21,Jantar,1338.0,1640.0
B,2026-05-22,Almoço,1591.0,1694.0
B,2026-05-22,Café,190.0,333.0
B,2026-05-22,Jantar,1213.0,1056.0
B,2026-05-25,Almoço,1778.0,1723.076923076923
B,2026-05-25,Café,187.0,255.3846153846154
B,2026-05-25,Jantar,1102.0,1166.6666666666667
B,2026-05-26,Almoço,2013.0,5148.000000000001
B,2026-05-26,Café,251.0,318.0
B,2026-05-26,Jantar,1362.0,1658.3333333333333
B,2026-05-27,Almoço,1945.0,1974.0
B,2026-05-27,Café,233.0,330.0
B,2026-05-27,Jantar,1352.0,1290.0
B,2026-05-28,Almoço,1831.0,1705.0
B,2026-05-28,Café,240.0,294.0
B,2026-05-28,Jantar,1273.0,1647.0
B,2026-05-29,Almoço,1433.0,1988.0
B,2026-05-29,Café,229.0,336.0
B,2026-05-29,Jantar,1097.0,1199.333333333333
B,2026-06-01,Almoço,1693.0,1532.0
B,2026-06-01,Café,190.0,270.0
B,2026-06-01,Jantar,1323.0,1266.6666666666667
B,2026-06-02,Almoço,1864.0,2547.0000000000005
B,2026-06-02,Café,220.0,301.0
B,2026-06-02,Jantar,1265.0,1462.0
B,2026-06-03,Almoço,1713.0,1792.0000000000002
B,2026-06-03,Café,203.0,320.0
B,2026-06-03,Jantar,1051.0,1301.9999999999998
B,2026-06-08,Almoço,1672.0,1943.9999999999998
B,2026-06-08,Café,186.0,278.0
B,2026-06-08,Jantar,1045.0,1280.0
B,2026-06-09,Almoço,1800.0,2080.0000000000005
B,2026-06-09,Café,236.0,348.57142857142856
B,2026-06-09,Jantar,1142.0,1410.833333333333
B,2026-06-10,Almoço,1817.0,2057.9999999999995
B,2026-06-10,Café,219.0,328.0
B,2026-06-10,Jantar,1289.0,1432.0000000000002
B,2026-06-11,Almoço,1710.0,1970.8333333333333
B,2026-06-11,Café,213.0,362.0
B,2026-06-11,Jantar,1232.0,1737.0
B,2026-06-12,Almoço,1430.0,1692.0000000000002
B,2026-06-12,Café,207.0,378.0
B,2026-06-12,Jantar,940.0,1226.0000000000002
B,2026-06-15,Almoço,1591.0,1537.6923076923076
B,2026-06-15,Café,183.0,293.84615384615387
B,2026-06-15,Jantar,1135.0,1066.0
B,2026-06-16,Almoço,1803.0,2150.0
B,2026-06-16,Café,250.0,360.7142857142857
B,2026-06-16,Jantar,1135.0,1728.0
B,2026-06-17,Almoço,1798.0,1832.0
B,2026-06-17,Café,231.0,320.0
B,2026-06-17,Jantar,1255.0,1646.0000000000002
B,2026-06-18,Almoço,1748.0,1852.5
B,2026-06-18,Café,226.0,332.0
B,2026-06-18,Jantar,1185.0,1704.0
B,2026-06-19,Almoço,1331.0,1670.0
B,2026-06-19,Café,204.0,372.0
B,2026-06-19,Jantar,560.0,891.111111111111
B,2026-06-22,Almoço,1594.0,1467.6923076923074
B,2026-06-22,Café,173.0,260.0
B,2026-06-22,Jantar,1043.0,1240.0
B,2026-06-23,Almoço,1801.0,2420.0
B,2026-06-23,Café,215.0,440.0
B,2026-06-23,Jantar,998.0,1413.3333333333335
B,2026-06-24,Almoço,1583.0,1862.0
B,2026-06-24,Café,212.0,372.0
B,2026-06-25,Almoço,1449.0,1537.5
B,2026-06-25,Café,177.0,344.91525423728814
B,2026-06-25,Jantar,981.0,1552.9999999999998
B,2026-06-26,Almoço,1315.0,1688.0
B,2026-06-26,Café,177.0,364.0
B,2026-06-26,Jantar,953.0,1196.6666666666665
B,2026-06-30,Almoço,1315.0,1488.0
B,2026-06-30,Café,180.0,333.0
B,2026-06-30,Jantar,844.0,1327.5
B,2026-07-01,Almoço,1346.0,1430.0
B,2026-07-01,Café,133.0,282.00000000000006
B,2026-07-01,Jantar,885.0,1120.0
B,2026-07-02,Almoço,1209.0,1266.6666666666667
B,2026-07-02,Café,139.0,355.08474576271186
B,2026-07-02,Jantar,787.0,1055.0
B,2026-07-03,Almoço,913.0,1422.0000000000002
B,2026-07-03,Café,156.0,314.0
B,2026-07-03,Jantar,628.0,714.0
B,2026-07-06,Almoço,742.0,1271.9999999999998
B,2026-07-06,Café,97.0,258.0
B,2026-07-06,Jantar,483.0,870.0
B,2026-07-07,Almoço,692.0,1104.4444444444441
B,2026-07-07,Café,138.0,345.7142857142857
B,2026-07-07,Jantar,520.0,570.8333333333334
B,2026-07-08,Almoço,651.0,1024.0
B,2026-07-08,Café,131.0,340.0
B,2026-07-08,Jantar,459.0,822.0
B,2026-07-09,Almoço,562.0,720.0
B,2026-07-09,Café,123.0,245.76271186440678
B,2026-07-09,Jantar,366.0,1046.2499999999998
B,2026-07-10,Almoço,528.0,632.0
B,2026-07-10,Café,124.0,394.0
B,2026-07-10,Jantar,286.0,423.0
B,2026-07-13,Almoço,407.0,553.8461538461538
B,2026-07-13,Café,64.0,225.3846153846154
B,2026-07-13,Jantar,279.0,359.99999999999994
B,2026-07-14,Almoço,398.0,535.9999999999999
B,2026-07-14,Café,100.0,240.0
B,2026-07-14,Jantar,291.0,295.0
B,2026-07-15,Almoço,309.0,540.0
B,2026-07-15,Café,107.0,184.0
B,2026-07-15,Jantar,203.0,484.00000000000006
B,2026-07-16,Almoço,309.0,593.3333333333334
B,2026-07-16,Café,104.0,202.54237288135593
B,2026-07-16,Jantar,205.0,250.0
B,2026-07-17,Almoço,297.0,498.0
B,2026-07-17,Café,84.0,194.0
B,2026-07-17,Jantar,185.0,312.5
B,2026-07-20,Almoço,271.0,686.0000000000001
B,2026-07-20,Café,70.0,200.0
B,2026-07-20,Jantar,187.0,402.50000000000006
B,2026-07-21,Almoço,315.0,645.0
B,2026-07-21,Café,91.0,214.00000000000003
B,2026-07-21,Jantar,218.0,407.50000000000006
B,2026-07-22,Almoço,354.0,686.9999999999999
B,2026-07-22,Café,104.0,168.64406779661016
B,2026-07-22,Jantar,193.0,410.0
B,2026-07-23,Almoço,304.0,513.9999999999999
B,2026-07-23,Café,89.0,191.52542372881356
B,2026-07-23,Jantar,193.0,420.5
B,2026-07-24,Almoço,290.0,432.0
B,2026-07-24,Café,95.0,226.0
B,2026-07-24,Jantar,185.0,228.25000000000003
B,2026-07-27,Almoço,260.0,423.0
B,2026-07-27,Café,61.0,160.0
B,2026-07-27,Jantar,210.0,273.5
B,2026-07-28,Almoço,270.0,348.0
B,2026-07-28,Café,71.0,400.0
B,2026-07-28,Jantar,194.0,243.07692307692307
B,2026-07-29,Almoço,329.0,613.0
B,2026-07-29,Café,77.0,200.0
B,2026-07-29,Jantar,215.0,562.0
B,2026-07-30,Almoço,287.0,372.49999999999994
B,2026-07-30,Café,80.0,195.76271186440678
B,2026-07-30,Jantar,192.0,466.4
B,2026-07-31,Almoço,302.0,601.4
B,2026-07-31,Café,78.0,222.00000000000003
B,2026-07-31,Jantar,161.0,346.6666666666667
B,2026-08-03,Almoço,301.0,568.0
B,2026-08-03,Café,68.0,144.0
B,2026-08-03,Jantar,215.0,566.9999999999999
B,2026-08-04,Almoço,338.0,483.0
B,2026-08-04,Café,81.0,254.23728813559325
B,2026-08-04,Jantar,202.0,272.3076923076923
B,2026-08-05,Almoço,346.0,514.0000000000001
B,2026-08-05,Café,92.0,232.00000000000003
B,2026-08-05,Jantar,220.0,524.0000000000001
B,2026-08-06,Almoço,331.0,501.0
B,2026-08-06,Café,83.0,237.0
B,2026-08-06,Jantar,192.0,430.0
B,2026-08-07,Almoço,346.0,604.0000000000001
B,2026-08-07,Café,93.0,152.00000000000003
B,2026-08-07,Jantar,204.0,438.0
B,2026-08-10,Almoço,1407.0,1872.0000000000007
B,2026-08-10,Café,158.0,292.0
B,2026-08-10,Jantar,944.0,1473.9999999999998
B,2026-08-11,Almoço,1416.0,1680.0
B,2026-08-11,Café,219.0,426.271186440678
B,2026-08-11,Jantar,927.0,1241.6666666666667
B,2026-08-12,Almoço,1555.0,1560.0
B,2026-08-12,Café,196.0,346.0
B,2026-08-12,Jantar,1080.0,1320.0
B,2026-08-13,Almoço,1618.0,1500.0
B,2026-08-13,Café,197.0,337.0
B,2026-08-13,Jantar,1102.0,1101.6666666666667
B,2026-08-14,Almoço,1148.0,1620.0
B,2026-08-14,Café,180.0,316.0
B,2026-08-14,Jantar,981.0,1075.2941176470586
B,2026-08-17,Almoço,1856.0,1709.2307692307695
B,2026-08-17,Café,188.0,246.0
B,2026-08-17,Jantar,1242.0,1380.0
B,2026-08-18,Almoço,1990.0,2381.0000000000005
B,2026-08-18,Café,214.0,416.1016949152542
B,2026-08-18,Jantar,1469.0,1495.0
B,2026-08-19,Almoço,1942.0,1833.3333333333333
B,2026-08-19,Café,241.0,306.0
B,2026-08-19,Jantar,1400.0,1632.0
B,2026-08-20,Almoço,2098.0,2053.3333333333335
B,2026-08-20,Café,212.0,350.0
B,2026-08-20,Jantar,1354.0,1549.0
B,2026-08-21,Almoço,1660.0,1500.0
B,2026-08-21,Café,,379.0
B,2026-08-21,Jantar,1067.0,1428.0
B,2026-08-24,Almoço,1875.0,1871.5384615384614
B,2026-08-24,Café,203.0,304.61538461538464
B,2026-08-24,Jantar,1546.0,1377.0000000000002
B,2026-08-25,Almoço,2057.0,2704.0000000000005
B,2026-08-25,Café,266.0,380.50847457627117
B,2026-08-25,Jantar,1429.0,2605.8333333333335
B,2026-08-26,Almoço,2069.0,1976.0
B,2026-08-26,Café,254.0,348.0
B,2026-08-26,Jantar,1472.0,1630.0
B,2026-08-27,Almoço,2026.0,1832.4999999999998
B,2026-08-27,Café,241.0,334.0
B,2026-08-27,Jantar,1343.0,1705.0
B,2026-08-28,Almoço,1581.0,1884.0
B,2026-08-28,Café,228.0,348.30508474576266
B,2026-08-28,Jantar,1105.0,1490.0
B,2026-08-31,Almoço,1852.0,2012.3076923076926
B,2026-08-31,Café,189.0,296.92307692307685
B,2026-08-31,Jantar,1170.0,1550.0
B,2026-09-01,Almoço,1880.0,2364.0000000000005
B,2026-09-01,Café,,400.0
B,2026-09-01,Jantar,1289.0,2464.0
B,2026-09-02,Almoço,,2000.0
B,2026-09-02,Café,,
B,2026-09-02,Jantar,,
L,2026-01-05,Almoço,94.0,300.0
L,2026-01-06,Almoço,98.0,228.0
L,2026-01-07,Almoço,149.0,244.0
L,2026-01-08,Almoço,96.0,216.66666666666666
L,2026-01-09,Almoço,85.0,262.00000000000006
L,2026-01-12,Almoço,164.0,256.0
L,2026-01-13,Almoço,124.0,389.0
L,2026-01-14,Almoço,141.0,284.0
L,2026-01-15,Almoço,156.0,238.0
L,2026-01-16,Almoço,115.0,302.5
L,2026-01-19,Almoço,133.0,213.33333333333334
L,2026-01-20,Almoço,105.0,210.0
L,2026-01-21,Almoço,161.0,266.0
L,2026-01-22,Almoço,106.0,276.25
L,2026-01-23,Almoço,89.0,233.33333333333334
L,2026-01-26,Almoço,93.0,240.0
L,2026-01-27,Almoço,70.0,240.0
L,2026-01-28,Almoço,114.0,238.0
L,2026-01-29,Almoço,83.0,239.0
L,2026-01-30,Almoço,54.0,239.0
L,2026-02-02,Almoço,46.0,236.0
L,2026-02-03,Almoço,47.0,122.00000000000001
L,2026-02-04,Almoço,54.0,146.66666666666666
L,2026-02-05,Almoço,45.0,128.125
L,2026-02-06,Almoço,49.0,110.62500000000003
L,2026-02-09,Almoço,37.0,110.0
L,2026-02-10,Almoço,44.0,106.0
L,2026-02-11,Almoço,53.0,106.0
L,2026-02-12,Almoço,40.0,103.75
L,2026-02-13,Almoço,38.0,83.07692307692308
L,2026-02-19,Almoço,33.0,83.07692307692308
L,2026-02-20,Almoço,47.0,83.07692307692308
L,2026-02-23,Almoço,70.0,74.61538461538461
L,2026-02-24,Almoço,56.0,128.8888888888889
L,2026-02-25,Almoço,50.0,116.0
L,2026-02-26,Almoço,59.0,103.75
L,2026-02-27,Almoço,43.0,79.23076923076923
L,2026-03-02,Almoço,154.0,262.30769230769226
L,2026-03-03,Almoço,185.0,530.0
L,2026-03-04,Almoço,154.0,190.76923076923077
L,2026-03-05,Almoço,159.0,233.33333333333334
L,2026-03-06,Almoço,144.0,215.3846153846154
L,2026-03-09,Almoço,229.0,223.07692307692307
L,2026-03-10,Almoço,243.0,313.3333333333333
L,2026-03-11,Almoço,216.0,160.0
L,2026-03-12,Almoço,208.0,276.6666666666667
L,2026-03-13,Almoço,161.0,217.69230769230768
L,2026-03-16,Almoço,229.0,190.76923076923077
L,2026-03-17,Almoço,236.0,183.33333333333334
L,2026-03-18,Almoço,208.0,233.33333333333334
L,2026-03-23,Almoço,229.0,195.0
L,2026-03-24,Almoço,244.0,663.3333333333334
L,2026-03-26,Almoço,232.0,268.57142857142856
L,2026-03-27,Almoço,183.0,210.7692307692308
L,2026-03-30,Almoço,225.0,257.6923076923077
L,2026-03-31,Almoço,224.0,204.28571428571428
L,2026-04-01,Almoço,214.0,239.99999999999997
L,2026-04-06,Almoço,212.0,246.15384615384616
L,2026-04-07,Almoço,237.0,204.28571428571428
L,2026-04-08,Almoço,246.0,239.99999999999997
L,2026-04-09,Almoço,215.0,239.99999999999997
L,2026-04-10,Almoço,204.0,246.92307692307688
L,2026-04-14,Almoço,195.0,236.66666666666669
L,2026-04-15,Almoço,243.0,199.99999999999997
L,2026-04-16,Almoço,213.0,300.0
L,2026-04-17,Almoço,173.0,238.46153846153848
L,2026-04-22,Almoço,229.0,239.99999999999997
L,2026-04-23,Almoço,227.0,200.0
L,2026-04-24,Almoço,195.0,199.99999999999997
L,2026-04-27,Almoço,165.0,239.99999999999997
L,2026-04-28,Almoço,206.0,240.0
L,2026-04-29,Almoço,192.0,239.99999999999997
L,2026-04-30,Almoço,187.0,277.77777777777777
L,2026-05-04,Almoço,190.0,216.66666666666666
L,2026-05-05,Almoço,200.0,270.0
L,2026-05-06,Almoço,235.0,410.0
L,2026-05-07,Almoço,194.0,300.0
L,2026-05-08,Almoço,175.0,213.33333333333334
L,2026-05-11,Almoço,214.0,203.33333333333337
L,2026-05-12,Almoço,209.0,282.50000000000006
L,2026-05-13,Almoço,230.0,204.66666666666669
L,2026-05-14,Almoço,188.0,234.0
L,2026-05-15,Almoço,165.0,327.5
L,2026-05-18,Almoço,182.0,203.33333333333337
L,2026-05-19,Almoço,215.0,308.0
L,2026-05-20,Almoço,230.0,181.66666666666669
L,2026-05-21,Almoço,203.0,179.99999999999997
L,2026-05-22,Almoço,197.0,206.15384615384616
L,2026-05-25,Almoço,199.0,201.66666666666666
L,2026-05-26,Almoço,228.0,345.99999999999994
L,2026-05-27,Almoço,235.0,206.66666666666666
L,2026-05-28,Almoço,206.0,287.99999999999994
L,2026-05-29,Almoço,195.0,225.99999999999997
L,2026-06-01,Almoço,191.0,222.3333333333333
L,2026-06-02,Almoço,217.0,191.66666666666663
L,2026-06-03,Almoço,240.0,182.66666666666666
L,2026-06-08,Almoço,225.0,186.00000000000003
L,2026-06-09,Almoço,210.0,262.0
L,2026-06-10,Almoço,184.0,138.33333333333331
L,2026-06-11,Almoço,214.0,216.66666666666666
L,2026-06-12,Almoço,198.0,195.00000000000003
L,2026-06-15,Almoço,171.0,196.00000000000003
L,2026-06-16,Almoço,191.0,262.0
L,2026-06-17,Almoço,180.0,158.33333333333334
L,2026-06-18,Almoço,217.0,219.16666666666666
L,2026-06-19,Almoço,144.0,272.00000000000006
